category	jp	zh	status	source	roster_ids	stage_count_sum	notes	display_zh
person	AI	AI	candidate	fallback_rule_exact	454	7	review_jp= Biligame=
person	DCエリート兵	DC精英兵	candidate	fallback_rule_generic	420	5	review_jp= Biligame=
person	DCエリート士官	DC精英士官	candidate	fallback_rule_generic	418	1	review_jp= Biligame=
person	DC兵	DC兵	candidate	fallback_rule_generic	419	9	review_jp= Biligame=
person	DC士官	DC士官	candidate	fallback_rule_generic	417	1	review_jp= Biligame=
person	DG細胞	DG细胞	candidate	fallback_rule_exact	457	5	review_jp= Biligame=
person	D・トライアル	D·Trial	candidate	fallback_rule_exact	253	2	review_jp= Biligame=
person	MD（ゼロシステム）	MD（零式系统）	candidate	fallback_rule_exact	461	3	review_jp= Biligame=
person	MDシステム	MD系统	candidate	fallback_rule_exact	459	19	review_jp= Biligame=
person	OZスペシャルズ兵	OZSpecials兵	candidate	fallback_rule_generic	466	2	review_jp= Biligame=	OZ特种兵
person	OZ上級士官	OZ上级士官	candidate	fallback_rule_generic	464	3	review_jp= Biligame=
person	OZ兵	OZ兵	candidate	fallback_rule_generic	465	3	review_jp= Biligame=
person	OZ士官	OZ士官	candidate	fallback_rule_generic	463	3	review_jp= Biligame=
person	アイナ・サハリン	爱娜·萨哈林	candidate	biligame_person_title:high	1;2	5	review_jp= Biligame=爱娜·萨哈林 https://wiki.biligame.com/gundam/%E7%88%B1%E5%A8%9C%C2%B7%E8%90%A8%E5%93%88%E6%9E%97
person	アイン・レヴィ	艾因·勒维	candidate	biligame_person_title:high	4;5;6	7	review_jp= Biligame=艾因·勒维 https://wiki.biligame.com/gundam/%E8%89%BE%E5%9B%A0%C2%B7%E5%8B%92%E7%BB%B4
person	アウル・ニーダ	奥尔·尼达	candidate	biligame_person_title:medium	232	9	review_jp= Biligame=奥尔·尼达 https://wiki.biligame.com/gundam/%E5%A5%A5%E5%B0%94%C2%B7%E5%B0%BC%E8%BE%BE
person	アグリッパ	阿格里帕	candidate	fallback_rule_exact	501	0	review_jp= Biligame=
person	アストナージ	阿斯特纳吉	candidate	fallback_rule_exact	502	0	review_jp= Biligame=
person	アスラン（SEED）	阿斯兰(SEED)	user_confirmed	manual_review_confirmed	10	0	review_jp=アスラン(SEED) Biligame=阿斯兰·萨拉 https://wiki.biligame.com/gundam/%E9%98%BF%E6%96%AF%E5%85%B0%C2%B7%E8%90%A8%E6%8B%89
person	アスラン・ザラ	阿斯兰·萨拉	candidate	biligame_person_title:high	9	8	review_jp= Biligame=阿斯兰·萨拉 https://wiki.biligame.com/gundam/%E9%98%BF%E6%96%AF%E5%85%B0%C2%B7%E8%90%A8%E6%8B%89
person	アデナウアー・パラヤ	阿登纳·帕拉雅	candidate	biligame_person_title:medium	530	0	review_jp= Biligame=阿登纳·帕拉雅 https://wiki.biligame.com/gundam/%E9%98%BF%E7%99%BB%E7%BA%B3%C2%B7%E5%B8%95%E6%8B%89%E9%9B%85
